,maze,run,trial,start_loc,goal_loc,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,mazeOrder,landmarkID,goalLM
0,1.0,1,1,5,1,cue3,217.757113597,37.7571135965,tooLong,1.987579503,87.5,64.88619065,44.76900005,85.72799993,40.95899988,40.79900002,44.76900005,UP_SELECTION,217.7571136,3.97000003,HSR02,1,1,landmark8B
1,1.0,1,2,1,2,cue13,107.54615843799999,-72.4538415622,correct,0.71901483,19.2,-0.719028316,97.76900005,110.559,12.78999995,92.71900009999999,97.76900005,DOWN_SELECTION,-72.45384156,5.04999995,HSR02,1,2,landmark4B
2,1.0,1,3,2,3,cue9,80.0089957311,260.00899573099997,tooLong,0.727401174,85.5,59.64867351,120.319,153.339,33.02,117.54899999999999,120.319,DOWN_SELECTION,80.00899573,2.77,HSR02,1,3,landmark7B
3,1.0,1,4,3,5,cue18,-38.0101345438,141.989865456,correct,0.994135902,42.7,-0.994863205,164.86900000000003,181.07299999999998,16.204,160.3280001,164.86900000000003,DOWN_SELECTION,141.9898655,4.5409999,HSR02,1,5,landmark1B
4,1.0,1,5,5,2,cue13,217.757113597,37.7571135965,tooLong,1.545543775,68.0,25.46717675,189.6690001,215.41000010000002,25.741,188.0699999,189.6690001,DOWN_SELECTION,217.7571136,1.5990002,HSR02,1,2,landmark11B
5,1.0,1,6,2,4,cue8,80.0089957311,260.00899573099997,incorrect,24.49016314,85.1,32.92161099,245.2480001,288.1200001,42.872,222.39899989999998,245.2480001,UP_SELECTION,80.00899573,22.8490002,HSR02,1,4,landmark8B
6,1.0,1,7,4,1,cue3,265.99410223900003,85.99410223870001,correct,1.5812826709999999,38.4,-1.5815355709999999,306.51,333.48,26.97,301.56400010000004,306.51,DOWN_SELECTION,85.99410224,4.9459999,HSR02,1,1,landmark7B
7,1.0,1,8,1,5,cue18,107.54615843799999,-72.4538415622,correct,1.212989213,21.4,-1.213809347,342.02,351.51,9.49,340.47,342.02,DOWN_SELECTION,107.54615840000001,1.55,HSR02,1,5,landmark11B
8,1.0,1,9,5,4,cue8,217.757113597,37.7571135965,tooLong,3.210396375,91.5,74.13229152,364.96,411.934,46.974,358.46,364.96,DOWN_SELECTION,37.7571136,6.5,HSR02,1,4,landmark4B
9,1.0,1,10,4,3,cue9,265.99410223900003,85.99410223870001,tooLong,1.750343948,84.0,57.67286404,421.1900001,464.76,43.5699999,418.9000001,421.1900001,UP_SELECTION,85.99410224,2.29,HSR02,1,3,landmark1B
10,1.0,2,1,3,1,cue3,-38.0101345438,141.989865456,correct,2.38828481,43.4,-2.370297549,528.73,566.4400001,37.7100001,523.45,528.73,UP_SELECTION,-38.01013454,5.28,HSR02,1,1,landmark8B
11,1.0,2,2,1,4,cue8,107.54615843799999,-72.4538415622,correct,1.3812227990000001,38.6,-1.381535571,578.1800001,600.02,21.8399999,573.4400001,578.1800001,UP_SELECTION,107.54615840000001,4.74,HSR02,1,4,landmark11B
12,1.0,2,3,4,5,cue18,265.99410223900003,85.99410223870001,correct,0.967033041,16.4,-0.967708483,612.54,619.96,7.42,606.97,612.54,DOWN_SELECTION,85.99410224,5.57,HSR02,1,5,landmark1B
13,1.0,2,4,5,3,cue9,217.757113597,37.7571135965,correct,0.994617541,42.7,-0.994863205,646.994,664.5599999,17.565999899999998,626.9000001,646.994,DOWN_SELECTION,217.7571136,20.093999899999996,HSR02,1,3,landmark7B
14,1.0,2,5,3,4,cue8,-38.0101345438,141.989865456,correct,1.027130123,25.3,-1.027135956,675.8199999,685.2239999999999,9.4040001,671.5599999,675.8199999,DOWN_SELECTION,141.9898655,4.26,HSR02,1,4,landmark4B
15,1.0,2,6,4,2,cue13,265.99410223900003,85.99410223870001,correct,1.877716344,50.3,-1.8783890140000001,697.75,715.921,18.171,692.211,697.75,DOWN_SELECTION,265.9941022,5.539,HSR02,1,2,landmark8B
16,1.0,2,7,2,1,cue3,80.0089957311,260.00899573099997,correct,1.51861358,18.4,-1.519028316,726.6010001,733.5699999,6.968999799999999,722.9100001,726.6010001,UP_SELECTION,80.00899573,3.6910000000000003,HSR02,1,1,landmark1B
17,1.0,2,8,1,3,cue9,107.54615843799999,-72.4538415622,correct,1.967708555,43.8,-1.970297549,747.5900002000001,763.72,16.129999800000004,740.54,747.5900002000001,DOWN_SELECTION,-72.45384156,7.0500002,HSR02,1,3,landmark4B
18,1.0,2,9,3,2,cue13,-38.0101345438,141.989865456,correct,2.7496157460000004,23.1,-2.75132649,776.72,785.46,8.74,770.711,776.72,DOWN_SELECTION,-38.01013454,6.0089999999999995,HSR02,1,2,landmark11B
19,1.0,2,10,2,5,cue18,80.0089957311,260.00899573099997,correct,1.481031209,41.05,-1.482823252,800.691,815.211,14.52,792.421,800.691,UP_SELECTION,80.00899573,8.27,HSR02,1,5,landmark7B
20,1.0,3,1,2,3,cue9,80.0089957311,260.00899573099997,tooLong,1.457629286,84.8,58.94867351,843.3110001,876.2,32.8889999,842.1400001000001,843.3110001,UP_SELECTION,80.00899573,1.171,HSR02,1,3,landmark8B
21,1.0,3,2,3,5,cue18,-38.0101345438,141.989865456,correct,0.094892683,43.6,-0.094863205,885.4200001,901.0310001,15.610999999999999,883.1900001,885.4200001,DOWN_SELECTION,141.9898655,2.23,HSR02,1,5,landmark1B
22,1.0,3,3,5,4,cue8,217.757113597,37.7571135965,correct,0.467609218,16.9,-0.46770848299999995,910.1200001,919.5009999,9.380999800000001,908.0009999,910.1200001,DOWN_SELECTION,217.7571136,2.1190002,HSR02,1,4,landmark4B
