,maze,run,trial,start_loc,goal_loc,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,mazeOrder,landmarkID,goalLM
0,1.0,1,1,1,5,cue18,107.54615843799999,-72.4538415622,correct,1.8357776005400002,20.8,-1.81380934657,18.9769999981,28.993999958000003,10.0169999599,17.4140000343,18.9769999981,UP_SELECTION,107.54615843799999,1.5629999638,HSR02,1,5,landmark11B
1,1.0,1,2,5,4,cue8,217.757113597,37.7571135965,correct,0.367663226553,17.0,-0.367708482594,36.9730000496,43.493999958,6.5209999084,35.9240000248,36.9730000496,UP_SELECTION,217.757113597,1.0490000248,HSR02,1,4,landmark7B
2,1.0,1,3,4,1,cue3,265.99410223900003,85.99410223870001,correct,0.38149939296999996,39.6,-0.38153557130000004,50.824000120200004,64.94400000569999,14.1199998855,50.4739999771,50.824000120200004,DOWN_SELECTION,85.99410223870001,0.35000014310000005,HSR02,1,1,landmark1B
3,1.0,1,4,1,3,cue9,107.54615843799999,-72.4538415622,correct,1.0698668327,44.7,-1.07029754929,79.0439999104,102.95700001700001,23.9130001066,71.885999918,79.0439999104,UP_SELECTION,-72.4538415622,7.1579999924,HSR02,1,3,landmark8B
4,1.0,1,5,3,2,cue13,-38.0101345438,141.989865456,correct,0.950894449029,24.9,-0.951326490056,111.71399998700001,121.424000025,9.710000037999999,109.914000034,111.71399998700001,DOWN_SELECTION,-38.0101345438,1.7999999530000002,HSR02,1,2,landmark7B
5,1.0,1,6,2,5,cue18,80.0089957311,260.00899573099997,correct,1.33159443277,41.2,-1.33282325202,135.404000044,149.993999958,14.589999914000002,128.39400005299998,135.404000044,UP_SELECTION,80.0089957311,7.009999991,HSR02,1,5,landmark4B
6,1.0,1,7,5,3,cue9,217.757113597,37.7571135965,correct,0.594649656871,43.1,-0.59486320457,159.733999968,174.75799989700002,15.023999929,156.967999935,159.733999968,UP_SELECTION,217.757113597,2.766000033,HSR02,1,3,landmark1B
7,1.0,1,8,3,4,cue8,-38.0101345438,141.989865456,correct,1.42713019069,24.9,-1.4271359556299998,183.825000048,192.94400000599998,9.118999958,181.69400000599998,183.825000048,DOWN_SELECTION,141.989865456,2.1310000419999997,HSR02,1,4,landmark7B
8,1.0,1,9,4,5,cue18,265.99410223900003,85.99410223870001,correct,1.0669441588500002,16.3,-1.06770848259,200.59400010099998,206.723999977,6.129999876,199.884000063,200.59400010099998,UP_SELECTION,85.99410223870001,0.710000038,HSR02,1,5,landmark11B
9,1.0,1,10,5,2,cue13,217.757113597,37.7571135965,correct,1.13275903613,41.4,-1.1328232520200001,226.744999886,241.447999954,14.703000068,213.65400004400001,226.744999886,UP_SELECTION,37.7571135965,13.090999842,HSR02,1,2,landmark1B
10,1.0,2,1,2,3,cue9,80.0089957311,260.00899573099997,correct,3.15566271574,22.7,-3.1513264900599998,267.98300004,286.463999987,18.480999947,264.496999979,267.98300004,DOWN_SELECTION,260.00899573099997,3.4860000610000004,HSR02,1,3,landmark7B
11,1.0,2,2,3,5,cue18,-38.0101345438,141.989865456,correct,1.09405275212,42.6,-1.09486320457,294.813999891,310.308000088,15.494000197,293.40400004400004,294.813999891,UP_SELECTION,141.989865456,1.409999847,HSR02,1,5,landmark8B
12,1.0,2,3,5,1,cue3,217.757113597,37.7571135965,correct,1.1137272089,21.5,-1.11380934657,318.463999987,326.907999992,8.444000005,317.25500011400004,318.463999987,UP_SELECTION,37.7571135965,1.208999873,HSR02,1,1,landmark11B
13,1.0,2,4,1,2,cue13,107.54615843799999,-72.4538415622,correct,0.7190148297229999,19.2,-0.719028316119,334.253999949,341.203999996,6.9500000470000005,333.85400009200004,334.253999949,UP_SELECTION,-72.4538415622,0.399999857,HSR02,1,2,landmark4B
14,1.0,2,5,2,4,cue8,80.0089957311,260.00899573099997,correct,1.57845415014,50.6,-1.57838901379,351.46399998699997,369.09800005,17.634000063,348.17799997300006,351.46399998699997,UP_SELECTION,260.00899573099997,3.286000014,HSR02,1,4,landmark8B
15,1.0,2,6,4,3,cue9,265.99410223900003,85.99410223870001,correct,1.2263938796,25.1,-1.2271359556299999,376.434000015,385.72399997699995,9.289999962000001,376.007999897,376.434000015,DOWN_SELECTION,265.99410223900003,0.426000118,HSR02,1,3,landmark1B
16,1.0,2,7,3,1,cue3,-38.0101345438,141.989865456,correct,1.86992208,43.9,-1.8702975492900002,392.684000015,408.397000074,15.713000059,392.657999992,392.684000015,UP_SELECTION,-38.0101345438,0.026000022999999997,HSR02,1,1,landmark4B
17,1.0,2,8,1,4,cue8,107.54615843799999,-72.4538415622,correct,1.28122818436,38.7,-1.2815355712999998,419.394000053,432.96399998699997,13.569999934,415.36500001,419.394000053,UP_SELECTION,107.54615843799999,4.029000043,HSR02,1,4,landmark11B
18,1.0,2,9,4,2,cue13,265.99410223900003,85.99410223870001,tooLong,1.1779032431799998,62.8,10.6216109862,441.76399993900003,468.65400004400004,26.890000105,439.934000015,441.76399993900003,DOWN_SELECTION,85.99410223870001,1.829999924,HSR02,1,2,landmark8B
19,1.0,2,10,2,1,cue3,80.0089957311,260.00899573099997,correct,2.01859326601,17.9,-2.01902831612,478.46399998699997,485.493999958,7.0299999710000005,475.65400004400004,478.46399998699997,UP_SELECTION,80.0089957311,2.8099999430000002,HSR02,1,1,landmark4B
20,1.0,3,1,3,4,cue8,-38.0101345438,141.989865456,incorrect,4.83481593446,21.5,-4.82713595563,848.272000074,857.020999908,8.748999834,841.585000038,848.272000074,DOWN_SELECTION,141.989865456,6.687000036000001,HSR02,1,4,landmark11B
21,1.0,3,2,4,1,cue3,265.99410223900003,85.99410223870001,correct,2.11800110835,42.1,2.1184644287,870.914000034,890.111000061,19.197000027,870.45600009,870.914000034,DOWN_SELECTION,85.99410223870001,0.457999944,HSR02,1,1,landmark1B
22,1.0,3,3,1,2,cue13,107.54615843799999,-72.4538415622,correct,0.7190148297229999,19.2,-0.719028316119,897.83100009,905.8120000360001,7.980999946,897.0520000460001,897.83100009,UP_SELECTION,-72.4538415622,0.7790000440000001,HSR02,1,2,landmark8B
23,1.0,3,4,2,3,cue9,80.0089957311,260.00899573099997,correct,1.0508855735,24.8,-1.05132649006,915.522000074,938.871999979,23.349999905,912.782000065,915.522000074,UP_SELECTION,260.00899573099997,2.7400000089999996,HSR02,1,3,landmark7B
24,1.0,3,5,3,5,cue18,-38.0101345438,141.989865456,correct,0.405063893137,44.1,0.40513679543000003,946.371000051,964.451999903,18.080999852,945.822000027,946.371000051,DOWN_SELECTION,141.989865456,0.549000024,HSR02,1,5,landmark1B
25,1.0,3,6,5,2,cue13,217.757113597,37.7571135965,correct,1.2327586081,41.3,-1.23282325202,974.325000048,989.8320000169999,15.506999969,971.4219999310001,974.325000048,UP_SELECTION,37.7571135965,2.903000117,HSR02,1,2,landmark4B
26,1.0,3,7,2,1,cue3,80.0089957311,260.00899573099997,incorrect,5.312641245309999,14.6,-5.31902831612,997.15199995,1003.64100003,6.48900008,996.766000032,997.15199995,DOWN_SELECTION,80.0089957311,0.385999918,HSR02,1,1,landmark8B
27,1.0,3,8,1,3,cue9,107.54615843799999,-72.4538415622,correct,2.06727149782,43.7,-2.07029754929,1026.53200006,1042.19199991,15.65999985,1017.08299994,1026.53200006,DOWN_SELECTION,-72.4538415622,9.44900012,HSR02,1,3,landmark11B
28,1.0,3,9,3,2,cue13,-38.0101345438,141.989865456,correct,1.85059205903,24.0,-1.8513264900599997,1050.34200001,1060.93199992,10.58999991,1049.15199995,1050.34200001,DOWN_SELECTION,-38.0101345438,1.19000006,HSR02,1,2,landmark4B
29,1.0,3,10,2,4,cue8,80.0089957311,260.00899573099997,tooLong,3.4775126745800002,66.1,13.9216109862,1069.54200006,1102.66499996,33.1229999,1067.91199994,1069.54200006,UP_SELECTION,80.0089957311,1.63000012,HSR02,1,4,landmark1B
30,1.0,4,1,4,3,cue9,265.99410223900003,85.99410223870001,correct,0.694972614369,28.1,1.7728640443700001,1462.46799994,1492.33400011,29.86600017,1455.352,1462.46799994,UP_SELECTION,265.99410223900003,7.11599994,HSR02,1,3,landmark11B
31,1.0,4,2,3,1,cue3,-38.0101345438,141.989865456,correct,3.0684486433099996,42.7,-3.07029754929,1503.12400007,1519.28500009,16.16100002,1499.32400012,1503.12400007,UP_SELECTION,-38.0101345438,3.79999995,HSR02,1,1,landmark7B
32,1.0,4,3,1,5,cue18,107.54615843799999,-72.4538415622,correct,3.5958482278800004,19.0,-3.6138093465699996,1526.57400012,1533.54399991,6.96999979,1526.24399996,1526.57400012,UP_SELECTION,107.54615843799999,0.33000016,HSR02,1,5,landmark4B
33,1.0,4,4,5,4,cue8,217.757113597,37.7571135965,correct,0.06776018748290001,17.3,-0.067708482594,1541.21499991,1548.82400012,7.60900021,1540.5250001,1541.21499991,UP_SELECTION,217.757113597,0.68999981,HSR02,1,4,landmark11B
34,1.0,4,5,4,2,cue13,265.99410223900003,85.99410223870001,correct,1.1779032431799998,51.0,-1.17838901379,1557.33500004,1574.96399999,17.62899995,1555.81399989,1557.33500004,UP_SELECTION,265.99410223900003,1.52100015,HSR02,1,2,landmark8B
35,1.0,4,6,2,5,cue18,80.0089957311,260.00899573099997,correct,3.12091055179,39.4,-3.13282325202,1584.50500011,1598.38499999,13.87999988,1581.92499995,1584.50500011,UP_SELECTION,80.0089957311,2.58000016,HSR02,1,5,landmark4B
36,1.0,4,7,5,1,cue3,217.757113597,37.7571135965,tooLong,2.58494399437,39.4,16.7861906534,1612.84500003,1631.88400006,19.03900003,1605.375,1612.84500003,UP_SELECTION,217.757113597,7.47000003,HSR02,1,1,landmark7B
37,1.0,4,8,1,4,cue8,107.54615843799999,-72.4538415622,correct,0.818494509107,40.8,0.8184644287,1640.88400006,1655.40799999,14.52399993,1638.82500005,1640.88400006,DOWN_SELECTION,107.54615843799999,2.05900001,HSR02,1,4,landmark8B
38,1.0,4,9,4,5,cue18,265.99410223900003,85.99410223870001,correct,0.13224344695,17.5,0.13229151740599998,1662.85500002,1669.36500001,6.50999999,1662.38499999,1662.85500002,DOWN_SELECTION,85.99410223870001,0.47000003,HSR02,1,5,landmark1B
39,1.0,4,10,5,3,cue9,217.757113597,37.7571135965,tooLong,1.7823999057099997,66.6,22.9051367954,1686.58599997,1722.93899989,36.35299992,1676.35400009,1686.58599997,UP_SELECTION,37.7571135965,10.23199988,HSR02,1,3,landmark7B
0,2.0,1,1,8,9,cue6,-23.860641462199997,156.13935853799998,tooLong,1.811865075,46.2,24.61259143,19.75500011,42.70000005,22.94499994,18.68499994,19.75500011,UP_SELECTION,-23.86064146,1.07000017,HSR02,2,8,landmark11B
1,2.0,1,2,9,7,cue11,230.72509544599998,50.7250954461,incorrect,24.85999694,20.9,-26.176123800000003,50.16100001,63.29099989,13.12999988,49.67100000000001,50.16100001,DOWN_SELECTION,230.7250954,0.49000001,HSR02,2,6,landmark7B
2,2.0,1,3,7,6,cue17,35.153463033,215.15346303299998,tooLong,0.662791499,43.4,26.53692543,83.93099999,112.921,28.99000001,76.72099996,83.93099999,DOWN_SELECTION,215.153463,7.21000003,HSR02,2,5,landmark1B
3,2.0,1,4,6,9,cue6,72.3727287096,252.37272871,correct,0.739414103,47.4,-0.7396355920000001,120.9749999,142.8410001,21.8660002,119.881,120.9749999,UP_SELECTION,72.37272871,1.0939999,HSR02,2,8,landmark8B
4,2.0,1,5,9,10,cue14,230.72509544599998,50.7250954461,correct,1.5477403180000002,23.6,-1.5482255109999998,154.191,163.181,8.99,149.77099990000002,154.191,DOWN_SELECTION,50.72509545,4.420000099999999,HSR02,2,9,landmark7B
5,2.0,1,6,10,6,cue17,192.38214593700002,12.3821459369,correct,1.190451235,21.8,-1.191394719,172.61100009999998,181.15099999999998,8.539999900000002,170.15099999999998,172.61100009999998,UP_SELECTION,12.38214594,2.4600001,HSR02,2,5,landmark4B
6,2.0,1,7,6,8,cue4,72.3727287096,252.37272871,correct,0.951529154,41.4,-0.951971195,194.97099999999998,210.171,15.2,188.105,194.97099999999998,UP_SELECTION,252.3727287,6.8660000000000005,HSR02,2,7,landmark1B
7,2.0,1,8,8,7,cue11,-23.860641462199997,156.13935853799998,correct,0.68886895,24.8,-0.6888255059999999,217.63099999999997,226.69499989999997,9.0639999,217.15099999999998,217.63099999999997,DOWN_SELECTION,-23.86064146,0.48,HSR02,2,6,landmark7B
8,2.0,1,9,7,10,cue14,35.153463033,215.15346303299998,correct,0.45422681,39.4,-0.454529668,235.46400000000003,251.2950001,15.831000099999999,233.65099999999998,235.46400000000003,UP_SELECTION,35.15346303,1.8130000000000002,HSR02,2,9,landmark11B
9,2.0,1,10,10,8,cue4,192.38214593700002,12.3821459369,correct,0.835432147,45.9,-0.835568612,260.721,285.08100010000004,24.3600001,258.2509999,260.721,UP_SELECTION,192.3821459,2.4700001,HSR02,2,7,landmark1B
10,2.0,2,1,10,9,cue6,192.38214593700002,12.3821459369,correct,2.366489325,22.8,-2.348225511,322.0309999,330.5610001,8.5300002,321.171,322.0309999,UP_SELECTION,192.3821459,0.8599998999999999,HSR02,2,8,landmark7B
11,2.0,2,2,9,6,cue17,230.72509544599998,50.7250954461,correct,1.43851356,46.7,-1.439635592,353.221,369.631,16.41,337.5150001,353.221,DOWN_SELECTION,50.72509545,15.705999900000002,HSR02,2,5,landmark8B
12,2.0,2,3,6,10,cue14,72.3727287096,252.37272871,correct,1.490845151,21.5,-1.491394719,377.651,386.0109999,8.359999900000002,376.6010001,377.651,DOWN_SELECTION,72.37272871,1.0499999,HSR02,2,9,landmark11B
13,2.0,2,4,10,7,cue11,192.38214593700002,12.3821459369,tooLong,1.745452269,66.6,26.74547033,394.5710001,423.61199999999997,29.040999900000003,393.0120001,394.5710001,DOWN_SELECTION,12.38214594,1.5590000000000002,HSR02,2,6,landmark4B
14,2.0,2,5,7,9,cue6,35.153463033,215.15346303299998,correct,1.276201138,45.8,-1.276123803,437.0610001,453.34100010000003,16.28,430.58100010000004,437.0610001,DOWN_SELECTION,215.153463,6.48,HSR02,2,8,landmark8B
15,2.0,2,6,9,8,cue4,230.72509544599998,50.7250954461,correct,0.78720855,20.8,-0.787308569,461.3610001,469.1819999,7.820999799999999,460.30199999999996,461.3610001,DOWN_SELECTION,230.7250954,1.0590001,HSR02,2,7,landmark1B
16,2.0,2,7,8,6,cue17,-23.860641462199997,156.13935853799998,correct,0.8513546240000001,41.5,-0.851871195,480.20099999999996,494.931,14.73,476.171,480.20099999999996,UP_SELECTION,-23.86064146,4.03,HSR02,2,5,landmark4B
17,2.0,2,8,6,7,cue11,72.3727287096,252.37272871,correct,2.662680413,14.2,-2.663074565,513.3599998999999,520.5120001,7.152000200000001,501.852,513.3599998999999,DOWN_SELECTION,252.3727287,11.507999900000002,HSR02,2,6,landmark11B
18,2.0,2,9,7,8,cue4,35.153463033,215.15346303299998,correct,0.588820559,24.9,-0.588825506,530.312,539.161,8.849,527.4720001000001,530.312,UP_SELECTION,215.153463,2.8399999,HSR02,2,7,landmark8B
19,2.0,2,10,8,10,cue14,-23.860641462199997,156.13935853799998,incorrect,5.823327399,43.1,-3.6355686119999997,548.332,575.092,26.76,546.132,548.332,DOWN_SELECTION,-23.86064146,2.2,HSR02,2,9,landmark4B
20,2.0,3,1,7,8,cue4,35.153463033,215.15346303299998,correct,0.592531557,26.0,0.511174494,1156.047,1175.594,19.547,1143.4389999999999,1156.047,DOWN_SELECTION,215.153463,12.607999999999999,HSR02,2,7,landmark11B
21,2.0,3,2,8,6,cue17,-23.860641462199997,156.13935853799998,correct,1.9453915519999998,44.3,1.948128805,1183.435,1199.205,15.77,1182.565,1183.435,DOWN_SELECTION,-23.86064146,0.87,HSR02,2,5,landmark1B
