subID,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR02,4,1,1,15,cue20,incorrect,19.83370988,92.5,-0.584181986,2.35,across,2,4,1,1,0
HSR02,4,2,15,10,cue14,tooLong,0.971160458,111.7,30.85753529,1.85,across,2,3,1,0,1
HSR02,4,3,10,7,cue11,incorrect,4.435210899,241.2,201.3454703,3.87,within,1,2,0,0,1
HSR02,4,4,7,4,cue8,incorrect,38.94389104,97.7,76.09353668,5.71,across,2,2,1,1,0
HSR02,4,5,4,1,cue3,correct,2.916762821,42.9,2.918464429,2.14,within,1,2,1,1,1
HSR02,4,6,1,11,cue2,tooLong,1.165751981,102,33.7472844,3.78,across,3,3,0,0,1
HSR02,4,7,11,3,cue9,correct,0.578324483,43.4,-0.39878681,2.5,across,2,2,1,1,1
HSR02,4,8,3,8,cue4,correct,0.891868462,45.6,1.071885326,1.266,across,3,2,1,1,1
HSR02,4,9,8,3,cue9,correct,0.00795357,48.1,3.571885326,1.2,across,3,2,1,1,1
HSR02,4,10,3,10,cue14,tooLong,0.697377427,163.5,97.53152688,1.521,across,2,3,0,0,1
HSR02,5,1,10,13,cue22,tooLong,0.844090343,75.7,8.778492845,1.88,across,3,3,1,1,1
HSR02,5,2,13,11,cue2,tooLong,1.720927754,67.5,23.87667916,6.067,within,1,2,1,0,1
HSR02,5,3,11,6,cue17,incorrect,6.536237308,163.4,119.6940567,4.666,across,2,2,0,0,1
HSR02,5,4,6,12,cue21,incorrect,33.23551337,17.2,-33.63153008,6.83,across,3,3,1,0,0
HSR02,5,5,12,14,cue16,incorrect,45.48344945,31.7,-8.618031603,4.226,within,1,2,0,0,0
HSR02,5,6,14,7,cue11,incorrect,8.063516793,107.5,35.34862391,4.863,across,2,3,1,1,0
HSR02,5,7,7,9,cue6,incorrect,34.69143765,104.5,57.4238762,1.98,within,1,2,0,0,0
HSR02,5,8,9,4,cue8,incorrect,24.84970958,80,15.21044073,4.787,across,2,3,0,0,0
HSR02,5,9,4,1,cue3,tooLong,3.216458037,57.6,17.61846443,3.23,within,1,2,1,0,1
HSR02,5,10,1,15,cue20,incorrect,53.96530227,89.2,-3.884181986,3.17,across,2,4,0,0,0
HSR02,6,1,15,5,cue18,incorrect,38.72530003,75.6,4.208745103,1.35,across,3,3,1,1,0
HSR02,6,2,5,2,cue13,tooLong,1.045727149,77.3,34.76717675,2.391,within,1,2,1,0,1
HSR02,6,3,2,8,cue4,tooLong,1.513235508,137.6,67.22053227,2.54,across,3,3,1,0,1
HSR02,6,4,8,6,cue17,incorrect,8.157419534,163.5,121.1481288,2.621,within,1,2,0,0,0
HSR02,6,5,6,14,cue16,correct,1.202165211,68.5,2.279423935,7.481,across,3,3,1,1,1
HSR02,6,6,14,12,cue21,correct,1.282003436,41.6,1.281968397,9.36,within,1,2,1,1,1
HSR02,6,7,12,5,cue18,tooLong,0.337437856,110.1,60.00592474,2.137,across,3,3,0,0,1
HSR02,6,8,5,15,cue20,incorrect,53.02545206,128,57.5296451,4.03,across,3,3,0,0,0
HSR02,6,9,15,13,cue22,correct,0.224211418,43.4,-0.224117237,1.64,within,1,2,1,1,1
HSR02,6,10,13,9,cue6,incorrect,28.38576014,96.8,30.859953,3.85,across,2,3,0,0,0
HSR02,7,1,9,2,cue13,incorrect,14.51735958,177.3,85.33323397,2.58,across,3,4,1,0,0
HSR02,7,2,2,10,cue14,tooLong,1.750373256,182.6,108.8583842,0.89,across,2,3,0,0,1
HSR02,7,3,10,7,cue11,tooLong,3.625109579,183.8,143.9454703,2.22,within,1,2,0,0,1
HSR02,7,4,7,4,cue8,correct,0.649143583,26.1,4.493536677,3.91,across,2,2,1,1,1
HSR02,7,5,4,1,cue3,tooLong,2.417440607,77.4,37.41846443,1.989,within,1,2,1,0,1
HSR02,7,6,1,11,cue2,incorrect,4.468867979,76.4,8.147284396,1.96,across,3,3,1,1,0
HSR02,7,7,11,3,cue9,tooLong,0.852763192,162.7,118.9012132,2.389,across,2,2,0,0,1
HSR02,7,8,3,8,cue4,tooLong,0.270874448,99.9,55.37188533,2,across,3,2,1,0,1
HSR02,7,9,8,6,cue17,tooLong,3.727645252,84.7,42.34812881,4.85,within,1,2,1,1,1
HSR02,7,10,6,14,cue16,incorrect,22.27967367,76.7,10.47942394,7.88,across,3,3,1,0,0
HSR02,11,1,4,11,cue2,tooLong,3.55205022,86.7,38.25066791,6.5,across,2,3,1,0,1
HSR02,11,2,11,13,cue22,tooLong,1.154700161,67.3,23.67667916,0.84,within,1,2,1,0,1
HSR02,11,3,13,6,cue17,incorrect,5.235355597,79.2,34.29564795,0.981,across,3,2,1,0,1
HSR02,11,4,6,14,cue16,incorrect,17.30175832,46.5,-19.72057606,1.919,across,3,3,1,1,0
HSR02,11,5,14,12,cue21,correct,2.081815823,42.4,2.081968397,5.03,within,1,2,1,1,1
HSR02,11,6,12,7,cue11,tooLong,2.283251596,104.2,67.38246989,0.717,across,2,2,0,0,1
HSR02,11,7,7,10,cue14,correct,0.745470792,40.6,0.745470332,10.145,within,1,2,1,1,1
HSR02,11,8,10,7,cue11,correct,3.653019479,36.2,-3.654529668,0.894,within,1,2,1,1,1
HSR02,11,9,7,13,cue22,tooLong,0.855408422,63.6,14.71334792,0.89,across,3,3,1,1,1
HSR02,11,10,13,9,cue6,tooLong,1.767757532,105.1,39.159953,0.833,across,2,3,0,0,1
HSR02,12,1,9,2,cue13,tooLong,1.673051497,105.5,13.53323397,1.59,across,3,4,1,1,1
HSR02,12,2,2,8,cue4,incorrect,23.00616033,56.6,-13.77946773,0.977,across,3,3,1,1,0
HSR02,12,3,8,6,cue17,tooLong,2.462027417,131.4,89.04812881,2.65,within,1,2,0,0,1
HSR02,12,4,6,14,cue16,incorrect,17.80860624,119,52.77942394,2.66,across,3,3,1,0,0
HSR02,12,5,14,12,cue21,correct,1.781995372,42.1,1.781968397,2.81,within,1,2,1,1,1
HSR02,12,6,12,4,cue8,tooLong,3.812675684,42.9,10.17365199,1.51,across,2,2,1,1,1
HSR02,12,7,4,1,cue3,correct,3.116552765,43.1,3.118464429,0.69,within,1,2,1,1,1
HSR02,12,8,1,11,cue2,tooLong,3.897472458,99.6,31.3472844,1.761,across,3,3,0,0,1
HSR02,12,9,11,5,cue18,tooLong,2.536541772,133.5,86.94021148,2.084,across,3,2,0,0,1
