,run,trial,startID,goalID,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,maze,mazeOrder,landmarkID,goalLM
0,1,1,2,8,cue4,80.0089957311,260.00899573099997,correct,1.761024502,70.4,0.020532268,37.19900012,76.16799998,38.96899986,29.46800017,37.19900012,DOWN_SELECTION,260.0089957,7.73099995,HSR02,across,3.0,3.0,2.0,2,7,landmark7B
1,1,2,8,1,cue3,-23.860641462199997,156.13935853799998,correct,1.280548944,74.5,6.680456532000001,84.898,129.76,44.861999999999995,83.08000016,84.898,DOWN_SELECTION,-23.86064146,1.81799984,HSR02,across,2.0,3.0,1.0,1,1,landmark18B
2,1,3,1,11,cue2,107.54615843799999,-72.4538415622,correct,1.5880474080000002,75.5,7.247284396,139.51100019999998,191.03,51.518999799999996,136.6490002,139.51100019999998,DOWN_SELECTION,107.54615840000001,2.862,HSR02,across,3.0,3.0,3.0,3,7,landmark7B
3,1,4,11,10,cue14,207.840947976,27.8409479757,correct,1.5810284780000001,60.4,4.389001675,207.092,251.4580002,44.3660002,197.918,207.092,DOWN_SELECTION,27.84094798,9.174,HSR02,across,2.0,2.0,2.0,2,9,landmark5B
4,1,5,10,14,cue16,192.38214593700002,12.3821459369,incorrect,55.66707494,57.7,-31.51203117,267.39799999999997,302.0270002,34.62900020000001,258.3800001,267.39799999999997,UP_SELECTION,12.38214594,9.017999900000001,HSR02,across,3.0,4.0,3.0,3,11,landmark1B
5,1,6,14,6,cue17,-12.3971927173,167.602807283,tooLong,1.440557176,204.0,136.80522390000002,322.9710002,477.98699999999997,155.0159998,315.428,322.9710002,UP_SELECTION,-12.39719272,7.543000200000001,HSR02,across,3.0,3.0,2.0,2,5,landmark13B
6,1,7,6,13,cue22,72.3727287096,252.37272871,correct,1.206512051,43.8,-0.130052052,487.30000020000006,508.97,21.669999800000003,484.8700001,487.30000020000006,DOWN_SELECTION,252.3727287,2.4300001,HSR02,across,3.0,2.0,3.0,3,3,landmark4B
7,1,8,13,15,cue20,102.78110517799999,-77.2188948219,tooLong,1.023868759,69.8,26.17588276,536.931,574.4070001,37.4760001,515.839,536.931,DOWN_SELECTION,102.7811052,21.092,HSR02,within,1.0,2.0,3.0,3,12,landmark8B
8,1,9,15,12,cue21,-43.641695038,136.358304962,incorrect,26.19776282,110.8,60.37268903,583.2280002,646.45,63.2219998,581.2810001,583.2280002,DOWN_SELECTION,-43.64169504,1.9470001000000001,HSR02,within,1.0,2.0,3.0,3,10,landmark11B
9,1,10,12,15,cue20,145.579686976,-34.420313024,incorrect,25.92624816,0.0,-50.42731097,665.0610001,671.5900002000001,6.529000099999999,659.7810001,665.0610001,DOWN_SELECTION,-34.42031302,5.28,HSR02,within,1.0,2.0,3.0,3,12,landmark8B
10,2,1,15,13,cue22,-43.641695038,136.358304962,tooLong,1.8467558830000002,61.8,18.17588276,697.7239999999999,730.5710001,32.8470001,694.6460001,697.7239999999999,DOWN_SELECTION,136.358305,3.0779999,HSR02,within,1.0,2.0,3.0,3,3,landmark4B
11,2,2,13,11,cue2,102.78110517799999,-77.2188948219,correct,0.9227719740000001,42.7,-0.923320842,748.941,764.4520001,15.511000099999999,737.5,748.941,UP_SELECTION,102.7811052,11.440999999999999,HSR02,within,1.0,2.0,3.0,3,7,landmark7B
