1,run,trial,startID,goalID,cue,feedbackType,goalError,pathDistance,shPathError,RT,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,switchCorrect,trackDirCorrect,locCorrect
HSR02,5,1,14,6,cue17,tooLong,0.691932378,104.1,36.90522394,5.101,across,3,3,1,1,1
HSR02,5,2,6,12,cue21,incorrect,5.187416527,53.1,2.268469922,4.754,across,3,3,1,1,1
HSR02,5,3,12,15,cue20,correct,1.127344821,49.3,-1.127310967,13.61,within,1,2,1,1,1
HSR02,5,4,15,13,cue22,correct,1.123328176,42.5,-1.124117237,10.067,within,1,2,1,1,1
HSR02,5,5,13,10,cue14,tooLong,0.979922109,108.4,40.50419285,12.236,across,3,3,1,0,1
HSR02,5,6,10,3,cue9,correct,0.047330597,71.9,5.931526877,8.027,across,2,3,1,1,1
HSR02,5,7,3,7,cue11,tooLong,2.127810037,88.9,40.96638196,17.726,across,2,3,1,0,1
HSR02,5,8,7,9,cue6,correct,1.323539727,48.4,1.323876197,23.781,within,1,2,1,1,1
HSR02,5,9,9,2,cue13,tooLong,0.507966711,116.3,24.33323397,22.05,across,3,4,1,0,1
HSR02,5,10,2,4,cue8,tooLong,0.999476796,60.9,8.721610986,3.71,within,1,2,1,0,1
HSR02,6,1,4,1,cue3,correct,2.535096147,42.5,2.518464429,11.384,within,1,2,1,1,1
HSR02,6,2,1,11,cue2,correct,1.372073748,67.8,-0.452715604,5.56,across,3,3,1,1,1
HSR02,6,3,11,5,cue18,tooLong,0.678688467,65.6,19.04021148,1.544,across,3,2,1,1,1
HSR02,6,4,5,12,cue21,tooLong,0.794705168,61.4,9.850724737,19.194,across,2,3,1,1,1
HSR02,6,5,12,4,cue8,tooLong,3.943346343,145.8,113.073652,16.946,across,2,2,0,0,1
HSR02,6,6,4,9,cue6,tooLong,0.913357135,74.1,9.310440726,3.674,across,2,3,1,0,1
HSR02,6,7,9,7,cue11,correct,0.823544647,47.9,0.823876197,14.061,within,1,2,1,1,1
HSR02,6,8,7,3,cue9,tooLong,0.016947341,57,9.066381955,11.699,across,3,3,1,1,1
HSR02,6,9,3,5,cue18,tooLong,0.405063893,105.1,61.4051368,2.192,within,1,2,0,0,1
HSR02,6,10,5,2,cue13,correct,0.83276032,41.7,-0.832823252,10.729,within,1,2,1,1,1
HSR03,5,1,11,13,cue2,correct,1.290021088,48.1,-1.255404933,2.649,within,1,2,1,1,1
HSR03,5,2,13,15,cue16,correct,3.112004095,39.55,-3.11367273,3.081,within,1,2,1,1,1
HSR03,5,3,15,5,cue7,tooLong,2.737661706,107.1,34.29536776,18.411,across,3,3,0,0,1
HSR03,5,4,5,2,cue10,correct,0.231921598,42.4,0.2319421,2.295,within,1,2,1,1,1
HSR03,5,5,2,12,cue15,correct,0.43959967,43.3,3.31938585,14.73,across,2,2,1,1,1
HSR03,5,6,12,9,cue3,correct,0.23532032,48.4,0.235390144,1.204,across,2,2,1,1,1
HSR03,5,7,9,4,cue11,tooLong,1.379332194,85.4,17.50484051,4.61,across,2,3,0,0,1
HSR03,5,8,4,11,cue4,tooLong,2.195482228,85.3,31.74638592,4.63,across,2,3,1,1,1
HSR03,5,9,11,13,cue2,correct,1.75417211,47.6,-1.755404933,7.61,within,1,2,1,1,1
HSR03,5,10,13,10,cue6,correct,0.800440567,76.75,3.722430725,4.15,across,3,3,1,1,1
HSR03,6,1,10,7,cue13,correct,0.777863635,41.3,-0.717707799,2.27,within,1,2,1,1,1
HSR03,6,2,7,14,cue12,correct,2.689768036,77.05,6.41166842,1.1,across,2,3,1,1,1
HSR03,6,3,14,6,cue17,tooLong,0.538136199,89.55,19.62670799,1.906,across,3,3,0,0,1
HSR03,6,4,6,8,cue18,correct,0.085154902,45.15,-0.085123928,3.898,within,1,2,1,1,1
HSR03,6,5,8,3,cue20,correct,0.644063049,51.1,1.560064963,4.969,across,3,2,1,1,1
HSR03,6,6,3,1,cue14,correct,2.397233725,41,-2.398361787,7.413,within,1,2,1,1,1
HSR03,6,7,1,15,cue16,correct,0.870210095,91.6,1.791066916,6.751,across,2,4,1,1,1
HSR03,6,8,15,5,cue7,tooLong,2.165085426,95.15,22.34536776,15.861,across,3,3,0,0,1
HSR03,6,9,5,2,cue10,correct,0.281921635,42.45,0.2819421,2.6,within,1,2,1,1,1
HSR03,6,10,2,12,cue15,correct,0.839593642,41,1.01938585,7.751,across,2,2,1,1,1
HSR05,5,1,2,11,cue9,correct,0.544234371,63.8,0.725385484,7.13900017,across,2,3,1,1,1
HSR05,5,2,11,13,cue18,correct,1.452210035,42.9,-1.453254184,1.46299982,within,1,2,1,1,1
HSR05,5,3,13,6,cue11,correct,2.726643414,53.5,2.370510579,8.17600012,across,3,2,1,1,1
HSR05,5,4,6,14,cue13,correct,2.326219403,79.2,3.803896219,13.64900017,across,3,3,1,1,1
HSR05,5,5,14,12,cue15,correct,2.70432575,45.5,-2.705055254,10.96000004,within,1,2,1,1,1
HSR05,5,6,12,7,cue17,tooLong,3.895642404,70.8,41.81320286,2.68000006,across,2,2,0,0,1
HSR05,5,7,7,3,cue10,tooLong,0.098487036,59.1,8.255988682,5.81999993,across,3,3,1,1,1
HSR05,5,8,3,10,cue19,tooLong,3.401425097,138.7,71.86144264,18.27900004,across,2,3,0,0,1
HSR05,5,9,10,2,cue2,incorrect,26.46883927,47.4,-31.00170498,4.24499989,across,2,3,1,0,0
HSR05,5,10,2,8,cue5,tooLong,1.110737554,92.4,30.4222951,7.80400014,across,3,3,0,0,1
HSR05,6,1,8,13,cue18,correct,0.813663887,42.5,-0.75634457,1.93199992,across,2,2,1,1,1
HSR05,6,2,13,11,cue9,correct,0.552963114,43.8,-0.553254184,7.3900001,within,1,2,1,1,1
HSR05,6,3,11,5,cue4,tooLong,2.240535433,79,32.23181993,6.80999995,across,3,2,0,0,1
HSR05,6,4,5,15,cue6,tooLong,0.66753754,141.5,70.64060303,7.88700009,across,3,3,0,0,1
HSR05,6,5,15,1,cue16,tooLong,1.553507069,158.5,63.80070224,5.70000005,across,3,4,0,0,1
HSR05,6,6,1,4,cue14,correct,2.372750863,46.1,-2.37280437,5.03299999,within,1,2,1,1,1
HSR05,6,7,4,12,cue15,correct,2.000950584,32.3,1.889361169,1.28900003,across,2,2,1,1,1
HSR05,6,8,12,14,cue13,tooLong,1.494835506,58.1,9.894944746,5.023,within,1,2,0,0,1
HSR05,6,9,14,6,cue11,tooLong,2.529539477,88.6,12.22969622,8.47899985,across,3,3,0,0,1
HSR05,6,10,6,9,cue8,tooLong,1.583808523,65.8,21.10565056,3.25,within,1,2,1,0,1
HSR06,5,1,9,13,cue4,correct,1.759447876,67.6,-1.73566077,0.51999998,across,2,3,1,1,1
HSR06,5,2,13,10,cue15,tooLong,3.432337751,88.7,13.15310695,5.94900012,across,3,3,0,0,1
HSR06,5,3,10,14,cue7,tooLong,3.500814769,103.3,10.93058001,1.87899994,across,3,4,1,1,1
HSR06,5,4,14,11,cue9,correct,1.147186765,38.8,-1.147868024,2.00999999,within,1,2,1,1,1
HSR06,5,5,11,1,cue5,tooLong,2.990203641,87.4,19.24262794,3.57299995,across,3,3,0,0,1
HSR06,5,6,1,7,cue8,correct,3.858206422,42.4,0.561539436,5.7900002,across,2,2,1,1,1
HSR06,5,7,7,4,cue11,correct,0.655217632,32.4,4.672632819,1.9380002,across,2,2,1,1,1
HSR06,5,8,4,2,cue18,correct,1.049569172,46.3,1.049574979,1.70000005,within,1,2,1,1,1
HSR06,5,9,2,5,cue22,correct,1.579457269,42.2,1.581290993,9.70000005,within,1,2,1,1,1
HSR06,5,10,5,12,cue16,tooLong,2.587410749,89.7,33.49940688,1.9690001,across,2,3,1,0,1
HSR06,6,1,12,10,cue15,correct,2.490616338,65.2,-1.065603835,2.08899998,across,2,3,1,1,1
HSR06,6,2,10,7,cue8,incorrect,4.313925454,40.2,-4.315552489,3.11000013,within,1,2,1,1,1
HSR06,6,3,7,3,cue3,correct,0.322557197,55.8,4.00534241,1.17100001,across,3,3,1,1,1
HSR06,6,4,3,9,cue13,correct,1.202286375,71.9,4.034302313,2.93999982,across,3,3,1,1,1
HSR06,6,5,9,2,cue18,correct,2.118272286,92.4,3.351243329,1.02000022,across,3,4,1,1,1
HSR06,6,6,2,8,cue19,tooLong,1.093749028,100.2,29.59548836,0.98000002,across,3,3,0,0,1
HSR06,6,7,8,6,cue12,incorrect,4.204752896,48.4,4.223944224,3.20900011,within,1,2,1,1,1
HSR06,6,8,6,14,cue7,tooLong,3.656873708,98.8,26.64195635,1.32000018,across,3,3,0,0,1
HSR06,6,9,14,11,cue9,tooLong,0.66894618,143.5,103.552132,0.93000007,within,1,2,0,0,1
HSR06,6,10,11,5,cue22,correct,2.338805052,50.4,0.047386383,0.76999998,across,3,2,1,1,1
HSR08,5,1,7,9,cue22,correct,1.719737268,43.1,1.693473737,5.6099999,within,1,2,1,1,1
HSR08,5,2,9,3,cue15,correct,1.749611827,65.6,-1.571697873,2.84599995,across,3,3,1,1,1
HSR08,5,3,3,10,cue4,correct,2.012128891,72.2,-1.909896845,7.28400015,across,2,3,1,1,1
HSR08,5,4,10,14,cue21,correct,1.016164832,96.3,1.151387905,6.19499993,across,3,4,1,1,1
HSR08,5,5,14,9,cue22,tooLong,0.727062451,88.9,15.02722769,13.92000008,across,2,3,1,0,1
HSR08,5,6,9,12,cue8,correct,1.597687779,39.8,-1.597716542,3.56099987,across,2,2,1,1,1
HSR08,5,7,12,6,cue19,correct,0.055909026,51.3,2.618949985,6.9690001,across,2,3,1,1,1
HSR08,5,8,6,13,cue14,correct,1.709230339,45.3,-0.634253132,4,across,3,2,1,1,1
HSR08,5,9,13,11,cue5,correct,0.048351073,49.6,6.248366333,2.16100001,within,1,2,1,0,1
HSR08,5,10,11,1,cue12,correct,1.193616371,66.8,-1.193998683,7.852,across,3,3,1,1,1
HSR08,6,1,1,15,cue3,correct,0.48494563,93.9,0.539829942,8.08599997,across,2,4,1,1,1
HSR08,6,2,15,5,cue13,correct,2.525851494,70.3,-2.532286998,1.00999999,across,3,3,1,1,1
HSR08,6,3,5,3,cue15,correct,2.703756652,46,-2.710039893,1.41400004,within,1,2,1,1,1
HSR08,6,4,3,7,cue6,correct,0.716182604,59.1,5.480135461,1.17000007,across,2,3,1,1,1
HSR08,6,5,7,10,cue4,correct,2.295803471,47.1,-2.296630852,28.61999989,within,1,2,1,1,1
HSR08,6,6,10,8,cue10,correct,2.777047287,40.1,-2.784320155,7.09899997,within,1,2,1,1,1
HSR08,6,7,8,2,cue17,correct,0.382231776,67.1,-0.202471646,1.28999996,across,3,3,1,1,1
HSR08,6,8,2,4,cue9,correct,3.027497851,44.7,-3.028264797,2.7099998,within,1,2,1,1,1
HSR08,6,9,4,14,cue21,correct,0.107154417,49.2,1.081402428,5.63699984,across,2,2,1,1,1
HSR08,6,10,14,6,cue19,correct,0.044627667,68.8,0.147643099,3.12400008,across,3,3,1,1,1
HSR09,5,1,10,14,cue2,tooLong,0.361999231,122,30.70279017,4.66600013,across,3,4,1,0,1
