,X,run,trial,startID,goalID,cue,CWhead,CCWhead,feedbackType,goalError,pathDistance,shPathError,startNavTime,endNavTime,navTime,arrowsDispTime,selectTime,selectChoice,selectHead,RT,subID,trialTypeContext,trialTypeNumCon,trialTypeEdgeLen,maze,mazeOrder,landmarkID,goalLM,isCorrect,geCat,hubCat,goalCat,headingCat,newFeedbackType,shortestLen,relPathIneff,percIneff,startlandmark,neuralSimilarity_HPC_bilateral,stim1act_HPC_bilateral,stim2act_HPC_bilateral,V1_HPC_bilateral,IT_HPC_bilateral,neuralSimilarity_HPC_left,stim1act_HPC_left,stim2act_HPC_left,V1_HPC_left,IT_HPC_left,neuralSimilarity_HPC_right,stim1act_HPC_right,stim2act_HPC_right,V1_HPC_right,IT_HPC_right,startfractal,endfractal,neuralSimilarity_HPC_bilateral_fr,stim1act_HPC_bilateral_fr,stim2act_HPC_bilateral_fr,V1_HPC_bilateral_fr,IT_HPC_bilateral_fr
0,31,4,2,15,10,cue14,-43.64169504,136.358305,tooLong,0.971160458,111.7,30.85753529,2438.639,2498.149,59.51,2436.7889999999998,2438.639,DOWN_SELECTION,136.358305,1.85,2,across,2,3,2,2,9,landmark5B,1,correct,notHub,withinComm,0,correctNonSP,80.84246471,0.38169958600000004,38.16995857,12,-0.043686329,-0.029899359,-0.012438379,0.928255547,0.765720062,-0.13423417,-0.01040052,-0.019225802,0.928255547,0.765720062,0.046861513,-0.049398198,-0.0056509559999999995,0.928255547,0.765720062,o,j,0.048133657999999996,0.05342828249999999,-0.17833734399999998,0.915352209,0.70099949
1,32,4,3,10,7,cue11,192.3821459,12.38214594,incorrect,4.435210898999999,241.2,201.34547030000002,2508.999,2616.529,107.53,2505.129,2508.999,UP_SELECTION,192.3821459,3.87,2,within,1,2,2,2,6,landmark12B,1,correct,notHub,inbetween,0,correctNonSP,39.8545297,5.0520096919999995,505.2009692,9,-0.018583743,0.004077166,-0.10679827900000001,0.9039291759999999,0.7208059659999999,-0.059294014000000006,0.012808197,-0.136542017,0.9039291759999999,0.7208059659999999,0.022126528,-0.0046538659999999996,-0.07705454099999999,0.9039291759999999,0.7208059659999999,j,g,0.034104098,0.0248673015,0.1316229115,0.847273479,0.8482732629999999
2,34,4,5,4,1,cue3,265.9941022,85.99410224,correct,2.9167628210000003,42.9,2.9184644289999997,2698.78,2724.453,25.673000000000002,2696.64,2698.78,DOWN_SELECTION,85.99410224,2.14,2,within,1,2,1,1,1,landmark18B,1,correct,notHub,withinComm,1,correctSP,39.98153557,0.072995306,7.299530614,4,0.086001326,0.036347366,0.10476672599999999,0.9153690590000001,0.732666088,0.035698161,0.00760637,0.116546651,0.9153690590000001,0.732666088,0.136304491,0.065088362,0.092986802,0.9153690590000001,0.732666088,d,a,0.08465362774999999,-0.0014433239999999993,0.16993859649999998,0.902290461,0.736852477
3,35,4,6,1,11,cue2,107.54615840000001,-72.45384156,tooLong,1.1657519809999999,102.0,33.7472844,2735.24,2782.24,47.0,2731.46,2735.24,UP_SELECTION,-72.45384156,3.78,2,across,3,3,3,3,7,landmark7B,1,correct,hub,hub,0,correctNonSP,68.2527156,0.49444603200000004,49.4446032,1,0.011756133,-0.010048886,-0.052028025,0.878498483,0.513595695,0.003401485,-0.054744347,-0.03088709,0.878498483,0.513595695,0.020110781,0.034646575,-0.073168959,0.878498483,0.513595695,a,k,-0.039492677250000004,0.05528496649999999,-0.062411507000000005,0.862178126,0.736426817
4,36,4,7,11,3,cue9,207.840948,27.84094798,correct,0.578324483,43.4,-0.39878681,2791.72,2819.59,27.87,2789.22,2791.72,DOWN_SELECTION,27.84094798,2.5,2,across,2,2,1,1,3,landmark4B,1,correct,hub,hub,1,correctSP,43.79878681,0.0,0.0,7,0.023590571,-0.051527101,-0.0016543179999999999,0.917956744,0.523288125,-0.028437287000000002,-0.093554955,0.00833732,0.917956744,0.523288125,0.075618429,-0.009499246999999999,-0.011645957,0.917956744,0.523288125,k,c,0.014619890250000007,-0.1433087825,-0.047477878,0.864934926,0.96514312
5,37,4,8,3,8,cue4,-38.01013454,141.9898655,correct,0.891868462,45.6,1.0718853259999999,2827.8390000000004,2848.24,20.401,2826.573,2827.8390000000004,DOWN_SELECTION,141.9898655,1.266,2,across,3,2,2,2,7,landmark7B,1,correct,hub,hub,1,correctSP,44.52811467,0.024072102,2.407210217,3,0.023590571,-0.10672851400000001,-0.052028025,0.917956744,0.523288125,-0.028437287000000002,-0.172287668,-0.03088709,0.917956744,0.523288125,0.075618429,-0.04116936,-0.073168959,0.917956744,0.523288125,c,h,0.04525056425,0.022777233,-0.044315825999999996,0.94365199,0.809006518
6,38,4,9,8,3,cue9,-23.86064146,156.1393585,correct,0.00795357,48.1,3.5718853260000003,2856.44,2877.548,21.108,2855.24,2856.44,DOWN_SELECTION,-23.86064146,1.2,2,across,3,2,1,1,3,landmark4B,1,correct,hub,hub,1,correctSP,44.52811467,0.08021640599999999,8.021640602,7,0.023590571,-0.051527101,-0.0016543179999999999,0.917956744,0.523288125,-0.028437287000000002,-0.093554955,0.00833732,0.917956744,0.523288125,0.075618429,-0.009499246999999999,-0.011645957,0.917956744,0.523288125,h,c,0.04525056425,-0.0760508875,-0.047477878,0.94365199,0.809006518
7,39,4,10,3,10,cue14,-38.01013454,141.9898655,tooLong,0.697377427,163.5,97.53152688,2886.071,2957.19,71.119,2884.55,2886.071,DOWN_SELECTION,141.9898655,1.521,2,across,2,3,2,2,9,landmark5B,1,correct,notHub,withinComm,0,correctNonSP,65.96847312,1.478456636,147.8456636,3,0.009096146,-0.10672851400000001,-0.012438379,0.9154722890000001,0.8572163629999999,-0.003167659,-0.172287668,-0.019225802,0.9154722890000001,0.8572163629999999,0.02135995,-0.04116936,-0.0056509559999999995,0.9154722890000001,0.8572163629999999,c,j,0.0427036855,0.022777233,-0.17833734399999998,0.8421930479999999,0.782586497
8,40,5,1,10,13,cue22,192.3821459,12.38214594,tooLong,0.844090343,75.7,8.778492845,3002.202,3042.3059999999996,40.104,3000.322,3002.202,DOWN_SELECTION,12.38214594,1.88,2,across,3,3,3,3,3,landmark4B,1,correct,hub,hub,0,correctSP,66.92150716,0.131175958,13.11759585,9,0.009096146,0.004077166,-0.0016543179999999999,0.9154722890000001,0.8572163629999999,-0.003167659,0.012808197,0.00833732,0.9154722890000001,0.8572163629999999,0.02135995,-0.0046538659999999996,-0.011645957,0.9154722890000001,0.8572163629999999,j,m,0.1054082455,0.0248673015,-0.0346191525,0.85458178,0.7123568259999999
9,41,5,2,13,11,cue2,102.7811052,-77.21889482,tooLong,1.720927754,67.5,23.87667916,3055.3520000000003,3093.302,37.95,3049.285,3055.3520000000003,UP_SELECTION,-77.21889482,6.067,2,within,1,2,3,3,7,landmark7B,1,correct,hub,hub,0,correctNonSP,43.62332084,0.547337495,54.73374952,3,0.023590571,-0.10672851400000001,-0.052028025,0.917956744,0.523288125,-0.028437287000000002,-0.172287668,-0.03088709,0.917956744,0.523288125,0.075618429,-0.04116936,-0.073168959,0.917956744,0.523288125,m,k,0.10342405674999999,-0.093488149,-0.062411507000000005,0.913704293,0.9767970090000001
